config,model_kind,n_seeds,seeds,unseeded_only,n_eval,prior_eval,encoder_family,encoder_init,encoder_target,embedding_native_dim,embedding_pca_dim,has_embedding,has_readout,readout_dim,has_descriptors,descriptor_sources,descriptor_pca_width,regressor,train_data,n_features,ffn_hidden_dim,freeze_epochs,gradient_clip_val,aux_use_observed_readout,aux_use_predicted_readout,encoder_finetune_target,aux_encoder_target,aux_readout_tasks,calibration,axes_source,mae_mean,mae_sd,rmse_mean,rmse_sd,rae_mean,rae_sd,r2_mean,r2_sd,kendall_tau_mean,kendall_tau_sd,spearman_rho_mean,spearman_rho_sd,config_fingerprint,spec_source
tabpfn_pec50_chemeleon,tabular,5,"0,1,2,3,4",False,513,phase1+phase2 pooled,chemprop,chemeleon_pretrained,pec50,2048,128,True,False,,True,all,128,tabpfn,drc_plus_primary,256,,,,,,pec50,none,,none,recorded,0.5214721162183237,0.013913814981646896,0.7595297663056058,0.01650307614594318,0.6853882117829284,0.018287391545508645,0.41740387759906544,0.025243292824888023,0.5425155806916905,0.018358616449088448,0.7344787672689507,0.020110395051906416,6884675aac42f1bb,launch_script
feat_predicted_native_2task,gnn,1,-1,True,513,phase1+phase2 pooled,chemprop,chemeleon_pretrained,,512,,True,True,512,False,,,N/A,drc_plus_primary,,512,2,1.0,False,True,pec50,log2fc,2,none,"configs/freeze*.yaml, configs/feat_*.yaml @ main",0.5256645979890582,,0.748897106195764,,0.6908985305409372,,0.433815075489472,,0.529704824018457,,0.7177108316676315,,321063da9af7fac0,parsed_config
tabpfn_chemeleon_descriptors_only,tabular,5,"0,1,2,3,4",False,513,phase1+phase2 pooled,chemeleon,chemeleon_pretrained,none,2048,256,True,False,0,True,mordred,128,tabpfn,drc_plus_primary,384,,,,,,none,none,,none,recorded,0.5290113049902534,0.003054443221935061,0.7481917401770357,0.002806433052205567,0.6952972192830027,0.004014556699706825,0.4348747610584664,0.004234759506206517,0.5265703575699865,0.003175535199259183,0.7214188745071761,0.0034678289381259004,f6e0ab0431af77fb,launch_script
xgboost_chemeleon_readout_descriptors,tabular,5,"0,1,2,3,4",False,513,phase1+phase2 pooled,chemeleon,chemeleon_pretrained,none,2048,256,True,True,2,True,mordred,128,xgboost,drc_plus_primary,386,,,,,,none,none,,none,recorded,0.5311073888888889,0.0063571015161480015,0.7162092533572262,0.004369710126223172,0.6980521723291044,0.008355350755611703,0.48214665610980345,0.006319389298631137,0.525618242399758,0.008234497276335555,0.7198098098609669,0.008587432805278053,33b41dfaedc9072d,launch_script
tabpfn_rdkit_only_pca128_no_embed_no_readout,tabular,5,"0,1,2,3,4",False,513,phase1+phase2 pooled,chemprop,scratch,log2fc,256,,False,False,0,True,rdkit,128,tabpfn,drc_plus_primary,128,,,,,,log2fc,none,,none,recorded,0.5311834844834308,0.0021030514767794435,0.7611726046351112,0.0010609351614225047,0.6981521873094755,0.0027641107666700722,0.41510087728709005,0.0016303924295962607,0.5294975598134177,0.0016703501481766952,0.7273475854611947,0.001916562663293188,bc1768b787d0edd3,launch_script
e4_finetune_drc_only,gnn,5,"0,1,2,3,4",False,513,phase1+phase2 pooled,chemprop,log2fc_checkpoint_pretrained,log2fc,512,,True,False,512,False,,,N/A,drc_only,,512,2,1.0,False,False,pec50,none,,none,configs/e4_*.yaml @ main,0.5338879782730608,0.033996673028798524,0.749509406593588,0.05512560820175376,0.7017067937871811,0.04468296234658458,0.43043466357582555,0.08716225577172997,0.5310124173120133,0.02106758429174102,0.7202206079613831,0.02360911065547767,c3ed9b4fdb39dce3,parsed_config+yaml_comment
tabpfn_chemeleon_static,tabular,5,"0,1,2,3,4",False,513,phase1+phase2 pooled,chemeleon,chemeleon_pretrained,none,2048,256,True,False,,True,all,256,tabpfn,drc_plus_primary,512,,,,,,none,none,,none,recorded,0.5379935122027291,0.003036553166657231,0.7592857654607363,0.0030804606718548544,0.7071028340949076,0.003991043202792533,0.4179902884403141,0.004722416386598409,0.522331704724488,0.003786820227320235,0.7186998928894612,0.0036103834779667218,0f7f9997123f9c26,launch_script
xgboost_readout_mordred_pca128_no_embed,tabular,5,"0,1,2,3,4",False,513,phase1+phase2 pooled,chemprop,scratch,log2fc,256,,False,True,2,True,mordred,128,xgboost,drc_plus_primary,130,,,,,,log2fc,none,,none,recorded,0.5395237990253412,0.009569396662724177,0.721280111978887,0.011294561548587016,0.7091141411547579,0.012577377509788282,0.47470036820795125,0.01637749430970789,0.515757162220523,0.01526513810773926,0.708886362613016,0.018543059822413218,45ed0b661269b1c5,launch_script
tabpfn_readout_only_no_embed,tabular,5,"0,1,2,3,4",False,513,phase1+phase2 pooled,chemprop,scratch,log2fc,256,,False,True,2,False,,,tabpfn,drc_plus_primary,2,,,,,,log2fc,none,,none,recorded,0.5410042555555556,0.005843418206724538,0.7134952972863455,0.009442267812985213,0.7110599545977172,0.007680199632629949,0.4860071590233659,0.013684086521681791,0.5053207998961946,0.01022389221134652,0.7004085667475282,0.00989472873658308,f4a9583669167318,launch_script
e4_frozen,gnn,5,"0,1,2,3,4",False,513,phase1+phase2 pooled,chemprop,log2fc_checkpoint_pretrained,log2fc,512,,True,False,512,False,,,N/A,drc_plus_primary,,512,50,1.0,False,False,pec50,none,,none,configs/e4_*.yaml @ main,0.5463935581415486,0.012949629268164214,0.7485974478989624,0.024652429394404186,0.7181432949092909,0.01702013007277081,0.4337772618259332,0.037033619569089515,0.5161991226577389,0.031272203461301426,0.7070302539857545,0.0349710991088367,5be626d3f86f827c,parsed_config+yaml_comment
